execution_order,run_id,config_id,rep,config_hash,scan_type,timing,fragmentation,decoys,padding,source_port,command_template
11,C0115-r1,C0115,1,ae27ff0314,sS,T5,none,d5,none,sp53,"nmap -sS -T5 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
12,C0298-r2,C0298,2,200e003d46,sN,T5,mtu24,d10,pad50,none,"nmap -sN -T5 --mtu 24 -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
13,C0350-r1,C0350,1,027401e0fb,sU,T5,f,d10,pad50,none,"nmap -sU -T5 -f -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
14,C0246-r2,C0246,2,59c36a56ac,sU,T4,mtu24,d10,pad50,none,"nmap -sU -T4 --mtu 24 -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
15,C0154-r2,C0154,2,70c6a7c561,sX,T4,f,d10,pad50,none,"nmap -sX -T4 -f -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
16,C0202-r3,C0202,3,813e58b074,sT,T0,none,d10,pad50,none,"nmap -sT -T0 -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
17,C0171-r3,C0171,3,eec0684589,sS,T5,none,d5,none,none,"nmap -sS -T5 -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
18,C0228-r1,C0228,1,26661ce38d,sA,T1,f,d10,pad50,sp53,"nmap -sA -T1 -f -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
19,C0261-r1,C0261,1,ad6c2a55f5,sS,T0,none,none,pad50,sp53,"nmap -sS -T0 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
20,C0022-r2,C0022,2,d31d433b76,sS,T3,mtu24,d10,none,none,"nmap -sS -T3 --mtu 24 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
21,C0358-r3,C0358,3,9ca57f99bd,sX,T2,ff,none,pad50,none,"nmap -sX -T2 -f -f --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
22,C0240-r3,C0240,3,0ab76a28fd,sF,T0,f,d5,none,none,"nmap -sF -T0 -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
23,C0019-r2,C0019,2,33920e94e7,sU,T4,f,d5,pad50,sp53,"nmap -sU -T4 -f -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
24,C0074-r3,C0074,3,78614c2b1e,sT,T3,none,d5,none,none,"nmap -sT -T3 -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
25,C0170-r3,C0170,3,23126979d9,sA,T2,none,d5,none,sp53,"nmap -sA -T2 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
26,C0016-r3,C0016,3,b18c5a5540,sU,T5,f,none,none,sp53,"nmap -sU -T5 -f --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
27,C0079-r3,C0079,3,2c161d0536,sS,T3,none,d5,pad50,sp53,"nmap -sS -T3 -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
28,C0315-r2,C0315,2,6e3c486d77,sU,T0,none,d10,none,sp53,"nmap -sU -T0 -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
29,C0333-r3,C0333,3,fc6c30da61,sF,T4,f,d5,none,none,"nmap -sF -T4 -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
30,C0163-r2,C0163,2,f4a09ce5ca,sA,T1,none,d10,none,none,"nmap -sA -T1 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
31,C0370-r2,C0370,2,0791b2ecc3,sU,T2,mtu24,d5,none,none,"nmap -sU -T2 --mtu 24 -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
32,C0372-r3,C0372,3,372a7f0fc0,sA,T5,ff,d5,none,sp53,"nmap -sA -T5 -f -f -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
33,C0219-r2,C0219,2,e6e8d73285,sT,T3,mtu24,d10,pad50,none,"nmap -sT -T3 --mtu 24 -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
34,C0277-r2,C0277,2,5b95d97f97,sF,T3,mtu24,d5,none,sp53,"nmap -sF -T3 --mtu 24 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
35,C0036-r3,C0036,3,10443f9935,sN,T3,ff,d10,none,sp53,"nmap -sN -T3 -f -f -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
36,C0246-r3,C0246,3,59c36a56ac,sU,T4,mtu24,d10,pad50,none,"nmap -sU -T4 --mtu 24 -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
37,C0298-r1,C0298,1,200e003d46,sN,T5,mtu24,d10,pad50,none,"nmap -sN -T5 --mtu 24 -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
38,C0223-r3,C0223,3,df7a3f58ed,sF,T4,f,d5,pad50,none,"nmap -sF -T4 -f -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
39,C0068-r2,C0068,2,5e46157851,sU,T0,mtu24,d5,pad50,none,"nmap -sU -T0 --mtu 24 -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
40,C0109-r2,C0109,2,a0f9155936,sS,T0,mtu24,d10,none,none,"nmap -sS -T0 --mtu 24 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
41,C0252-r3,C0252,3,16a037a7cc,sX,T3,mtu24,d5,none,sp53,"nmap -sX -T3 --mtu 24 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
42,C0211-r2,C0211,2,0340480282,sS,T0,ff,d5,none,sp53,"nmap -sS -T0 -f -f -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
43,C0141-r3,C0141,3,0d69871e6f,sS,T3,mtu24,none,pad50,sp53,"nmap -sS -T3 --mtu 24 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
44,C0137-r3,C0137,3,a31f36b376,sS,T3,f,d10,none,sp53,"nmap -sS -T3 -f -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
45,C0081-r2,C0081,2,f5f8f1c2ff,sT,T3,none,d10,none,sp53,"nmap -sT -T3 -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
46,C0159-r1,C0159,1,ac27a5ef8e,sF,T4,mtu24,none,pad50,none,"nmap -sF -T4 --mtu 24 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
47,C0292-r2,C0292,2,5ea5527998,sU,T0,mtu24,d10,none,none,"nmap -sU -T0 --mtu 24 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
48,C0128-r2,C0128,2,9e67807c44,sT,T0,f,d5,none,sp53,"nmap -sT -T0 -f -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
49,C0202-r2,C0202,2,813e58b074,sT,T0,none,d10,pad50,none,"nmap -sT -T0 -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
50,C0029-r1,C0029,1,6be3c8c6c2,sX,T2,mtu24,d5,none,none,"nmap -sX -T2 --mtu 24 -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
51,C0114-r3,C0114,3,27b2abc577,sS,T4,mtu24,none,none,none,"nmap -sS -T4 --mtu 24 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
52,C0017-r2,C0017,2,ed2d916436,sF,T2,f,none,none,sp53,"nmap -sF -T2 -f --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
53,C0078-r1,C0078,1,3cb5204d0b,sA,T4,ff,d10,pad50,none,"nmap -sA -T4 -f -f -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
54,C0106-r2,C0106,2,56f757401c,sN,T5,f,d10,pad50,sp53,"nmap -sN -T5 -f -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
55,C0303-r2,C0303,2,49d87598b0,sS,T0,none,d5,none,sp53,"nmap -sS -T0 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
56,C0355-r2,C0355,2,91af030695,sT,T2,none,none,none,none,"nmap -sT -T2 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
57,C0118-r2,C0118,2,8218bbbf2d,sF,T2,f,d10,pad50,sp53,"nmap -sF -T2 -f -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
58,C0051-r3,C0051,3,18da616c3f,sF,T3,f,d5,pad50,sp53,"nmap -sF -T3 -f -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
59,C0251-r1,C0251,1,ee87ee3420,sS,T3,f,d5,pad50,none,"nmap -sS -T3 -f -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
60,C0177-r3,C0177,3,67ad16e8bd,sX,T3,mtu24,none,pad50,none,"nmap -sX -T3 --mtu 24 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
61,C0350-r3,C0350,3,027401e0fb,sU,T5,f,d10,pad50,none,"nmap -sU -T5 -f -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
62,C0064-r1,C0064,1,be28aa3da0,sU,T2,mtu24,d10,none,sp53,"nmap -sU -T2 --mtu 24 -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
63,C0283-r2,C0283,2,4fe0161cb5,sX,T4,ff,none,none,sp53,"nmap -sX -T4 -f -f --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
64,C0193-r1,C0193,1,f16880ef2b,sU,T2,f,d5,none,sp53,"nmap -sU -T2 -f -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
65,C0151-r2,C0151,2,67545ead4e,sU,T3,mtu24,none,pad50,sp53,"nmap -sU -T3 --mtu 24 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
66,C0228-r3,C0228,3,26661ce38d,sA,T1,f,d10,pad50,sp53,"nmap -sA -T1 -f -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
67,C0319-r2,C0319,2,409d02d26d,sS,T2,ff,d10,none,none,"nmap -sS -T2 -f -f -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
68,C0325-r3,C0325,3,07752be5ce,sN,T1,f,d10,pad50,none,"nmap -sN -T1 -f -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
69,C0190-r2,C0190,2,9e7e9caf2a,sA,T0,f,d5,none,none,"nmap -sA -T0 -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
70,C0087-r3,C0087,3,172ca85715,sX,T1,f,d10,none,sp53,"nmap -sX -T1 -f -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
71,C0304-r2,C0304,2,f7b4ed3979,sF,T5,f,d10,pad50,sp53,"nmap -sF -T5 -f -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
72,C0080-r2,C0080,2,193c121435,sA,T3,none,d10,pad50,sp53,"nmap -sA -T3 -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
73,C0261-r2,C0261,2,ad6c2a55f5,sS,T0,none,none,pad50,sp53,"nmap -sS -T0 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
74,C0264-r3,C0264,3,c57a487768,sF,T1,mtu24,none,pad50,none,"nmap -sF -T1 --mtu 24 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
75,C0245-r3,C0245,3,52effc3089,sA,T3,f,none,pad50,none,"nmap -sA -T3 -f --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
76,C0044-r3,C0044,3,56630055e7,sT,T5,none,none,none,sp53,"nmap -sT -T5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
77,C0076-r2,C0076,2,af183ae2a3,sX,T5,mtu24,d10,none,none,"nmap -sX -T5 --mtu 24 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
78,C0228-r2,C0228,2,26661ce38d,sA,T1,f,d10,pad50,sp53,"nmap -sA -T1 -f -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
79,C0084-r1,C0084,1,eb409a6d01,sA,T3,ff,d5,pad50,sp53,"nmap -sA -T3 -f -f -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
80,C0055-r3,C0055,3,7760ea5ce9,sN,T4,mtu24,d5,none,sp53,"nmap -sN -T4 --mtu 24 -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
81,C0147-r2,C0147,2,db2dce70a5,sS,T4,ff,d5,none,none,"nmap -sS -T4 -f -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
82,C0358-r1,C0358,1,9ca57f99bd,sX,T2,ff,none,pad50,none,"nmap -sX -T2 -f -f --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
83,C0340-r2,C0340,2,0af2efcc82,sS,T4,none,none,pad50,none,"nmap -sS -T4 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
84,C0131-r3,C0131,3,dea94f3427,sN,T5,mtu24,d5,pad50,sp53,"nmap -sN -T5 --mtu 24 -D RND:5 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
85,C0365-r1,C0365,1,3415eb6900,sS,T5,f,none,none,none,"nmap -sS -T5 -f -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
86,C0217-r2,C0217,2,101e524c18,sU,T5,none,none,none,none,"nmap -sU -T5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
87,C0098-r1,C0098,1,38bf1a0b1d,sS,T0,none,none,none,none,"nmap -sS -T0 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
88,C0057-r2,C0057,2,c593e2397a,sF,T2,mtu24,d10,none,none,"nmap -sF -T2 --mtu 24 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
89,C0175-r3,C0175,3,638095bef5,sX,T4,none,d10,none,none,"nmap -sX -T4 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
90,C0202-r1,C0202,1,813e58b074,sT,T0,none,d10,pad50,none,"nmap -sT -T0 -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
91,C0071-r3,C0071,3,46a3510ea1,sA,T4,none,d10,pad50,sp53,"nmap -sA -T4 -D RND:10 --data-length 50 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
92,C0134-r3,C0134,3,23d7c80e5a,sS,T1,none,none,none,none,"nmap -sS -T1 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
93,C0155-r3,C0155,3,0e5b4211ee,sU,T3,none,none,pad50,none,"nmap -sU -T3 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
94,C0187-r2,C0187,2,2c97d08215,sX,T3,f,d5,none,none,"nmap -sX -T3 -f -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
95,C0025-r2,C0025,2,788d8105e1,sF,T4,mtu24,d10,none,none,"nmap -sF -T4 --mtu 24 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
96,C0072-r1,C0072,1,c056fdaad9,sF,T3,f,d10,none,sp53,"nmap -sF -T3 -f -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
97,C0284-r3,C0284,3,55a926f33f,sT,T3,ff,d10,none,sp53,"nmap -sT -T3 -f -f -D RND:10 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
98,C0154-r3,C0154,3,70c6a7c561,sX,T4,f,d10,pad50,none,"nmap -sX -T4 -f -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
99,C0215-r2,C0215,2,091efde746,sF,T3,mtu24,none,pad50,none,"nmap -sF -T3 --mtu 24 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
100,C0203-r2,C0203,2,e557a23665,sX,T4,f,d10,none,none,"nmap -sX -T4 -f -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
101,C0175-r2,C0175,2,638095bef5,sX,T4,none,d10,none,none,"nmap -sX -T4 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
102,C0354-r3,C0354,3,bef4c7b00d,sF,T3,ff,none,pad50,none,"nmap -sF -T3 -f -f --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
103,C0302-r1,C0302,1,c4ae1f9a46,sA,T1,ff,none,none,sp53,"nmap -sA -T1 -f -f --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
104,C0224-r1,C0224,1,f98a7b306b,sF,T3,ff,d5,pad50,none,"nmap -sF -T3 -f -f -D RND:5 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
105,C0128-r1,C0128,1,9e67807c44,sT,T0,f,d5,none,sp53,"nmap -sT -T0 -f -D RND:5 --source-port 53 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
106,C0268-r3,C0268,3,75fc7f20ed,sX,T0,mtu24,d10,none,none,"nmap -sX -T0 --mtu 24 -D RND:10 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
107,C0370-r3,C0370,3,0791b2ecc3,sU,T2,mtu24,d5,none,none,"nmap -sU -T2 --mtu 24 -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
108,C0089-r2,C0089,2,6c077e593f,sA,T0,none,d10,pad50,none,"nmap -sA -T0 -D RND:10 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
109,C0276-r1,C0276,1,63aef16e88,sX,T3,none,d5,none,none,"nmap -sX -T3 -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
110,C0065-r2,C0065,2,bed2e4644e,sF,T5,none,none,none,none,"nmap -sF -T5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
111,C0212-r2,C0212,2,3cd47933b5,sT,T0,mtu24,none,pad50,none,"nmap -sT -T0 --mtu 24 --data-length 50 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
112,C0029-r2,C0029,2,6be3c8c6c2,sX,T2,mtu24,d5,none,none,"nmap -sX -T2 --mtu 24 -D RND:5 -Pn -n -p 21,22,80,445,3306,6379 -oX <RUN_DIR>/nmap.xml --reason --open <TARGET_IP>"
